0.006,0.652
0.007,0.646
0.008,0.621
0.011,0.593
0.014,0.57
0.017,0.553
0.02,0.539
0.024,0.527
0.027,0.518
0.03,0.51
0.033,0.503
0.036,0.501
0.038,0.501
0.041,0.501
0.043,0.501
0.043,0.501
0.045,0.501
0.048,0.501
0.053,0.501
0.06,0.502
0.07,0.502
0.085,0.503
0.099,0.504
0.113,0.506
0.126,0.507
0.139,0.509
0.152,0.51
0.164,0.512
0.175,0.514
0.187,0.516
0.197,0.517
0.207,0.519
0.216,0.521
0.225,0.523
0.233,0.525
0.24,0.526
0.247,0.528
0.252,0.529
0.257,0.53
0.261,0.531
0.265,0.532
0.267,0.533
0.268,0.533
0.269,0.533
0.3,0.54
