# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
0.01,-0.001,-0.114,-11.375
0.02,0.001,0.29,29.037
0.03,0.008,0.99,70.025
0.04,0.023,2.134,114.4
0.05,0.053,3.728,159.358
0.06,0.099,5.546,181.889
0.07,0.164,7.365,181.958
0.08,0.246,9.184,181.888
0.09,0.347,10.994,180.989
0.1,0.466,12.793,179.951
0.11,0.603,14.581,178.911
0.12,0.758,16.36,177.87
0.13,0.93,18.124,176.442
0.14,1.12,19.851,172.713
0.15,1.327,21.537,168.598
0.16,1.551,23.181,164.48
0.17,1.791,24.784,160.36
0.18,2.046,26.347,156.237
0.19,2.317,27.867,152.111
0.2,2.603,29.347,147.982
0.21,2.904,30.805,145.778
0.22,3.219,32.26,145.504
0.23,3.549,33.712,145.231
0.24,3.894,35.161,144.956
0.25,4.252,36.608,144.682
0.26,4.626,38.052,144.407
0.27,5.013,39.493,144.131
0.28,5.416,40.931,143.855
0.29,5.832,42.367,143.579
0.3,6.263,43.799,143.303
0.31,6.708,45.23,143.026
0.32,7.167,46.657,142.748
0.33,7.641,48.081,142.471
0.34,8.129,49.503,142.193
0.35,8.631,50.922,141.914
0.36,9.148,52.338,141.636
0.37,9.678,53.752,141.357
0.38,10.223,55.162,141.078
0.39,10.781,56.57,140.798
0.4,11.354,57.975,140.518
0.41,11.941,59.377,140.238
0.425,12.847,61.475,139.871
0.448,14.266,64.61,139.362
0.481,16.525,69.287,138.584
0.531,20.161,76.167,137.641
0.581,24.141,83.032,137.341
0.631,28.465,89.901,137.392
0.681,33.133,96.829,138.541
0.731,38.149,103.818,139.726
0.781,43.516,110.86,140.744
0.831,49.236,117.936,141.36
0.881,55.311,125.038,141.812
0.931,61.741,132.159,142.108
0.981,68.527,139.29,142.223
1.031,75.67,146.421,142.123
1.081,83.169,153.536,141.725
1.131,91.023,160.626,141.144
1.181,99.231,167.683,140.396
1.231,107.791,174.698,139.498
1.281,116.701,181.686,138.925
