# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
0.01,-0.001,-0.116,-11.582
0.02,0.001,0.29,29.024
0.03,0.008,0.992,70.208
0.04,0.024,2.14,114.797
0.05,0.053,3.739,159.969
0.06,0.099,5.565,182.608
0.07,0.164,7.392,182.677
0.08,0.247,9.217,182.607
0.09,0.349,11.034,181.703
0.1,0.468,12.84,180.661
0.11,0.605,14.636,179.617
0.12,0.761,16.422,178.572
0.13,0.934,18.193,177.138
0.14,1.124,19.926,173.393
0.15,1.332,21.619,169.261
0.16,1.556,23.27,165.127
0.17,1.797,24.879,160.989
0.18,2.054,26.447,156.85
0.19,2.326,27.974,152.707
0.2,2.613,29.46,148.563
0.21,2.915,30.923,146.351
0.22,3.231,32.384,146.08
0.23,3.563,33.841,145.808
0.24,3.908,35.297,145.537
0.25,4.269,36.749,145.265
0.26,4.643,38.199,144.992
0.27,5.032,39.646,144.719
0.28,5.436,41.09,144.446
0.29,5.854,42.531,144.173
0.3,6.287,43.97,143.899
0.31,6.734,45.406,143.625
0.32,7.195,46.84,143.35
0.33,7.67,48.27,143.075
0.34,8.16,49.698,142.8
0.35,8.664,51.123,142.524
0.36,9.183,52.545,142.248
0.37,9.715,53.965,141.972
0.38,10.262,55.382,141.695
0.39,10.823,56.796,141.419
0.4,11.398,58.207,141.141
0.41,11.987,59.615,140.864
0.425,12.897,61.72,140.339
0.448,14.321,64.866,139.832
0.481,16.59,69.558,139.066
0.531,20.24,76.463,138.16
0.581,24.236,83.356,137.929
0.631,28.576,90.257,138.086
0.681,33.263,97.223,139.394
0.731,38.3,104.261,140.799
0.781,43.69,111.364,142.113
0.831,49.437,118.518,143.114
0.881,55.543,125.72,144.065
0.931,62.011,132.969,144.991
0.981,68.841,140.263,145.888
1.031,76.038,147.6,146.725
1.081,83.602,154.973,147.418
1.131,91.536,162.379,148.071
1.181,99.841,169.817,148.696
1.231,108.519,177.285,149.297
1.281,117.571,184.804,150.295
1.331,127.002,192.448,152.815
1.381,136.819,200.226,155.488
1.431,147.028,208.138,158.185
1.481,157.636,216.186,160.922
1.531,168.65,224.372,163.706
1.581,180.077,232.694,166.481
1.631,191.923,241.157,169.322
1.681,204.196,249.764,172.234
1.731,216.903,258.518,175.207
1.781,230.051,267.402,177.84
1.831,243.645,276.347,179.032
1.881,257.687,285.343,180.066
1.931,272.18,294.391,181.054
1.981,287.127,303.486,181.971
2.031,302.53,312.625,182.807
2.081,318.391,321.805,183.565
2.131,334.711,331.02,184.208
2.181,351.493,340.264,184.735
2.231,368.738,349.532,185.161
2.281,386.446,358.784,184.816
2.331,404.613,367.886,181.819
2.381,423.231,376.827,178.624
2.431,442.292,385.61,175.549
2.481,461.788,394.244,172.629
2.531,481.713,402.735,169.825
2.581,502.058,411.084,167.046
2.631,522.818,419.295,164.272
2.681,543.984,427.366,161.432
2.731,565.551,435.292,158.456
2.781,587.51,443.074,155.492
2.831,609.856,450.74,153.09
2.881,632.581,458.286,150.614
2.931,655.681,465.705,148.068
2.981,679.149,472.998,145.557
3.031,702.977,480.142,142.681
3.081,727.157,487.055,138.131
3.131,751.677,493.735,133.584
3.181,776.525,500.191,129.116
3.231,801.691,506.423,124.601
3.281,827.162,512.427,119.951
3.331,852.928,518.199,115.212
3.381,878.976,523.729,110.304
3.431,905.295,529.011,105.306
3.481,931.871,534.043,100.349
3.531,958.69,538.692,92.783
3.581,985.718,542.451,75.108
3.631,1012.912,545.283,56.656
3.681,1040.224,547.195,38.287
3.731,1067.608,548.187,19.879
3.781,1095.021,548.321,2.681
3.831,1122.425,547.843,-9.627
3.881,1149.79,546.771,-21.476
3.931,1177.087,545.109,-33.241
3.981,1204.287,542.862,-44.836
4,1214.456,541.871,-52.808
4.028,1229.674,540.326,-54.8
4.07,1252.421,538.022,-54.425
4.12,1279.254,535.313,-53.955
4.17,1305.952,532.627,-53.529
4.22,1332.517,529.959,-53.203
4.27,1358.948,527.305,-52.989
4.32,1385.248,524.659,-52.857
4.37,1411.414,522.019,-52.749
4.42,1437.45,519.384,-52.599
4.47,1463.353,516.76,-52.363
4.52,1489.126,514.149,-52.036
4.57,1514.768,511.557,-51.657
4.62,1540.282,508.984,-51.282
4.67,1565.667,506.428,-50.957
4.72,1590.925,503.887,-50.711
4.77,1616.056,501.356,-50.54
4.82,1641.061,498.832,-50.417
4.87,1665.939,496.314,-50.301
4.92,1690.692,493.802,-50.15
4.97,1715.32,491.3,-49.937
5.02,1739.822,488.81,-49.662
5.07,1764.201,486.334,-49.352
5.12,1788.456,483.875,-49.042
5.17,1812.588,481.43,-48.764
5.22,1836.599,478.998,-48.54
5.27,1860.488,476.575,-48.372
5.32,1884.257,474.16,-48.244
5.37,1907.904,471.75,-48.13
