-0.3,0.93,0,-0.5
-0.29,0.08,0,-2.01
-0.28,0.08,0,-0.5
-0.27,0.08,0,-2.01
-0.26,0.08,0,0.5
-0.25,0.08,0,-1.51
-0.24,0.25,0,-2.01
-0.23,0.25,0,-3.02
-0.22,0.25,0,0.5
-0.21,0.25,0,0
-0.2,0.25,0,0.5
-0.19,0.68,0,0
-0.18,0.68,0,1.01
-0.17,0.68,0,-3.02
-0.16,0.68,0,1.01
-0.15,0.68,0,2.51
-0.14,-0.17,0,-4.53
-0.13,-0.17,0.02,-0.5
-0.12,-0.17,0.07,1.51
-0.11,-0.17,0.19,18.1
-0.1,-0.17,0.41,20.62
-0.09,-0.34,0.73,48.28
-0.08,-0.34,1.15,54.82
-0.07,-0.34,1.65,58.84
-0.06,-0.34,2.2,60.35
-0.05,-0.34,2.78,58.84
-0.04,1.18,3.36,58.84
-0.03,1.18,3.94,55.82
-0.02,1.18,4.51,55.82
-0.01,1.18,5.08,58.84
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0,1.18,5.65,55.82
0.01,0.25,6.22,57.33
