# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Mach number (​),Drag coefficient (​)
54.521,434.23,-47.554,295.842,0.043,NaN
54.522,434.183,-47.263,291.799,0.043,NaN
54.523,434.135,-46.975,287.837,0.042,NaN
54.524,434.089,-46.691,283.952,0.042,NaN
54.525,434.042,-46.411,280.142,0.042,NaN
54.526,433.996,-46.134,276.407,0.042,NaN
54.527,433.95,-45.862,272.743,0.041,NaN
54.528,433.904,-45.592,269.15,0.041,NaN
54.529,433.859,-45.327,265.624,0.041,NaN
54.53,433.813,-45.065,262.165,0.041,NaN
54.531,433.768,-44.806,258.771,0.04,NaN
54.532,433.724,-44.55,255.44,0.04,NaN
54.533,433.679,-44.297,252.171,0.04,NaN
54.534,433.634,-44.043,248.951,0.04,NaN
54.535,433.588,-43.787,245.73,0.039,NaN
54.536,433.542,-43.529,242.511,0.039,NaN
54.537,433.495,-43.271,239.292,0.039,NaN
54.538,433.447,-43.01,236.074,0.039,NaN
54.54,433.399,-42.748,232.856,0.039,NaN
54.541,433.35,-42.485,229.64,0.038,NaN
54.542,433.301,-42.22,226.424,0.038,NaN
54.543,433.251,-41.953,223.209,0.038,NaN
54.544,433.2,-41.685,219.995,0.038,NaN
54.546,433.148,-41.415,216.782,0.037,NaN
54.547,433.095,-41.144,213.57,0.037,NaN
54.548,433.042,-40.87,210.359,0.037,NaN
54.549,432.988,-40.595,207.149,0.037,NaN
54.551,432.933,-40.319,203.939,0.036,NaN
54.552,432.877,-40.04,200.731,0.036,NaN
54.554,432.821,-39.759,197.524,0.036,NaN
54.555,432.763,-39.477,194.318,0.036,NaN
54.557,432.705,-39.193,191.113,0.035,NaN
54.558,432.645,-38.906,187.91,0.035,NaN
54.56,432.585,-38.618,184.707,0.035,NaN
54.561,432.523,-38.328,181.506,0.035,NaN
54.563,432.46,-38.035,178.306,0.034,NaN
54.565,432.397,-37.741,175.108,0.034,NaN
54.566,432.332,-37.444,171.91,0.034,NaN
54.568,432.266,-37.145,168.715,0.034,NaN
54.57,432.198,-36.844,165.52,0.033,NaN
54.572,432.13,-36.54,162.327,0.033,NaN
54.574,432.06,-36.234,159.136,0.033,NaN
54.576,431.988,-35.926,155.947,0.032,NaN
54.578,431.916,-35.615,152.759,0.032,NaN
54.58,431.841,-35.301,149.572,0.032,NaN
54.582,431.765,-34.985,146.388,0.032,NaN
54.584,431.688,-34.666,143.206,0.031,NaN
54.586,431.609,-34.345,140.025,0.031,NaN
54.589,431.527,-34.02,136.847,0.031,NaN
54.591,431.445,-33.693,133.67,0.031,NaN
54.594,431.36,-33.363,130.496,0.03,NaN
54.596,431.273,-33.029,127.324,0.03,NaN
54.599,431.184,-32.693,124.155,0.03,NaN
54.602,431.093,-32.353,120.988,0.029,NaN
54.605,430.999,-32.01,117.824,0.029,NaN
54.608,430.903,-31.664,114.662,0.029,NaN
54.611,430.804,-31.314,111.503,0.028,NaN
54.614,430.702,-30.961,108.348,0.028,NaN
54.618,430.598,-30.604,105.195,0.028,NaN
54.621,430.49,-30.243,102.046,0.027,NaN
54.625,430.379,-29.878,98.901,0.027,NaN
54.629,430.265,-29.509,95.759,0.027,NaN
54.633,430.147,-29.136,92.621,0.026,NaN
54.637,430.025,-28.759,89.488,0.026,NaN
54.641,429.898,-28.377,86.358,0.026,NaN
54.646,429.768,-27.991,83.234,0.025,NaN
54.651,429.632,-27.6,80.114,0.025,NaN
54.656,429.491,-27.203,77,0.025,NaN
54.662,429.344,-26.802,73.891,0.024,NaN
54.667,429.192,-26.396,70.788,0.024,NaN
54.673,429.032,-25.984,67.692,0.024,NaN
54.68,428.866,-25.567,64.603,0.023,NaN
54.687,428.692,-25.144,61.522,0.023,NaN
54.694,428.509,-24.715,58.448,0.023,NaN
54.702,428.316,-24.28,55.384,0.022,NaN
54.71,428.113,-23.838,52.329,0.022,NaN
54.719,427.898,-23.39,49.284,0.021,NaN
54.729,427.67,-22.934,46.252,0.021,NaN
54.74,427.428,-22.472,43.232,0.021,NaN
54.752,427.168,-22.003,40.226,0.02,NaN
54.764,426.889,-21.526,37.236,0.02,NaN
54.779,426.589,-21.042,34.263,0.019,NaN
54.794,426.262,-20.55,31.311,0.019,NaN
54.812,425.905,-20.051,28.381,0.018,NaN
54.832,425.512,-19.545,25.478,0.018,NaN
54.854,425.074,-19.032,22.606,0.018,NaN
54.881,424.581,-18.512,19.77,0.017,NaN
54.912,424.017,-17.988,16.978,0.017,NaN
54.948,423.362,-17.462,14.239,0.016,NaN
54.994,422.582,-16.937,11.566,0.016,NaN
55.051,421.622,-16.42,8.98,0.015,NaN
55.128,420.385,-15.922,6.51,0.015,NaN
55.237,418.677,-15.465,4.204,0.014,NaN
55.41,416.025,-15.092,2.149,0.014,NaN
55.76,410.785,-14.911,0.517,0.014,NaN
56.26,403.298,-15.039,-0.255,0.013,NaN
56.76,395.816,-14.889,0.299,0.013,NaN
57.26,388.33,-15.057,-0.336,0.013,NaN
57.76,380.85,-14.861,0.392,0.014,NaN
58.26,373.364,-15.082,-0.442,0.013,NaN
58.76,365.888,-14.825,0.515,0.014,NaN
59.26,358.403,-15.116,-0.583,0.013,NaN
59.76,350.929,-14.778,0.677,0.014,NaN
60.26,343.444,-15.162,-0.768,0.013,NaN
60.76,335.974,-14.717,0.89,0.014,NaN
61.26,328.489,-15.223,-1.013,0.013,NaN
61.76,321.024,-14.637,1.173,0.014,NaN
62.26,313.539,-15.305,-1.336,0.013,NaN
62.76,306.079,-14.532,1.546,0.014,NaN
63.255,298.658,-15.406,-1.763,0.013,NaN
63.687,292.195,-14.54,2.006,0.014,NaN
64.067,286.541,-15.193,-1.717,0.013,NaN
64.513,279.872,-14.711,1.081,0.014,NaN
65.013,272.393,-15.205,-0.987,0.013,NaN
65.513,264.934,-14.633,1.144,0.014,NaN
66.013,257.454,-15.285,-1.306,0.013,NaN
66.513,250.001,-14.529,1.513,0.014,NaN
67.013,242.52,-15.393,-1.728,0.013,NaN
67.453,235.944,-14.512,2.002,0.014,NaN
67.834,230.284,-15.192,-1.785,0.013,NaN
68.263,223.875,-14.708,1.131,0.014,NaN
68.763,216.402,-15.184,-0.952,0.013,NaN
69.263,208.948,-14.631,1.106,0.014,NaN
69.763,201.475,-15.263,-1.264,0.013,NaN
70.263,194.027,-14.529,1.467,0.014,NaN
70.763,186.552,-15.368,-1.677,0.013,NaN
71.216,179.795,-14.487,1.946,0.014,NaN
71.608,173.975,-15.209,-1.843,0.013,NaN
72.022,167.775,-14.688,1.258,0.014,NaN
72.522,160.308,-15.181,-0.987,0.013,NaN
73.022,152.861,-14.607,1.148,0.014,NaN
73.522,145.393,-15.264,-1.314,0.013,NaN
74.022,137.952,-14.501,1.528,0.014,NaN
74.522,130.483,-15.375,-1.749,0.013,NaN
74.956,124.006,-14.494,2.033,0.014,NaN
75.33,118.455,-15.155,-1.767,0.013,NaN
75.763,111.999,-14.691,1.073,0.014,NaN
76.263,104.539,-15.153,-0.924,0.013,NaN
76.763,97.097,-14.615,1.076,0.014,NaN
77.263,89.635,-15.231,-1.233,0.013,NaN
77.763,82.199,-14.513,1.436,0.014,NaN
78.263,74.736,-15.337,-1.647,0.013,NaN
78.723,67.88,-14.455,1.917,0.014,NaN
79.121,61.985,-15.203,-1.881,0.013,NaN
79.526,55.931,-14.661,1.335,0.014,NaN
80.026,48.475,-15.161,-1,0.013,NaN
80.526,41.04,-14.578,1.166,0.014,NaN
81.026,33.584,-15.248,-1.339,0.013,NaN
81.526,26.155,-14.467,1.561,0.014,NaN
82.015,18.865,-15.344,-1.793,0.013,NaN
82.438,12.558,-14.498,2.003,0.014,NaN
82.817,6.94,-15.125,-1.654,0.013,NaN
83.278,0.079,-14.643,1.045,0.014,NaN
83.284,0,-14.648,-1.029,0.013,NaN
