time,height,speed,acceleration
0.77,102.26877,272.51986,231.01521
0.78,102.26877,274.78375,224.4204
0.79,102.26877,277.04764,221.10659
0.8,102.26877,279.27872,222.74709
0.81,102.26877,281.47699,221.10659
0.82,117.06608,283.67526,221.10659
0.83,117.06608,285.80791,214.51178
0.84,117.06608,287.94056,209.55747
0.85,117.06608,290.00759,201.28935
0.86,117.06608,292.04181,199.64885
0.86,117.06608,292.04181,199.64885
0.86,117.06608,292.04181,199.64885
0.86,117.06608,292.04181,199.64885
0.86,117.06608,292.04181,199.64885
0.86,117.06608,292.04181,199.64885
0.87,132.45397,294.04322,198.00835
0.88,132.45397,296.01182,201.28935
0.89,132.45397,297.94761,193.05404
0.9,132.45397,299.8834,186.45923
0.91,132.45397,301.75357,188.09973
0.92,144.72491,303.62374,183.14542
0.93,144.72491,305.4611,184.81873
0.94,144.72491,307.29846,183.14542
0.95,144.72491,309.10301,178.19111
0.96,144.72491,310.87475,176.55061
0.97,159.25974,312.64649,171.5963
0.98,159.25974,314.38542,176.55061
0.98,159.25974,314.38542,176.55061
0.99,159.25974,316.12435,174.91011
1,159.25974,317.79766,173.26961
1.01,159.25974,319.47097,161.68768
1.02,172.12126,321.11147,155.09287
1.03,172.12126,322.68635,158.40668
1.04,172.12126,324.26123,153.45237
1.05,172.12126,325.77049,160.04718
1.06,172.12126,327.27975,138.58944
1.07,189.47775,328.7562,148.49806
1.08,189.47775,330.23265,145.21706
1.09,189.47775,331.64348,141.90325
1.1,189.47775,333.05431,140.26275
1.11,189.47775,334.43233,143.54375
1.12,200.66596,335.77754,128.71363
1.13,200.66596,337.08994,127.04032
1.14,200.66596,338.36953,122.08601
1.15,200.66596,339.64912,127.04032
1.16,200.66596,340.86309,125.39982
1.17,213.82277,342.07706,118.80501
1.18,213.82277,343.29103,120.44551
1.19,213.82277,344.43938,118.80501
1.2,213.82277,345.58773,105.61539
1.21,213.82277,346.67046,112.2102
1.22,224.7485,347.72038,100.66108
1.23,224.7485,348.7703,102.30158
1.24,224.7485,349.7546,95.70677
1.25,224.7485,350.70609,92.39296
1.26,224.7485,351.65758,95.70677
1.27,244.1064,352.54345,90.75246
1.28,244.1064,353.42932,85.79815
1.29,244.1064,354.24957,80.84384
1.3,244.1064,355.06982,80.84384
1.3,244.1064,355.06982,80.84384
1.31,244.1064,355.82445,69.29472
1.32,262.31595,356.54627,70.93522
1.33,262.31595,357.20247,69.29472
1.34,262.31595,357.85867,61.05941
1.35,262.31595,358.44925,54.4646
1.36,262.31595,358.97421,49.51029
1.37,274.65251,359.46636,49.51029
1.38,274.65251,359.89289,46.19648
1.39,274.65251,360.2538,36.28786
1.4,274.65251,360.54909,21.45774
1.41,274.65251,360.74595,13.18962
1.42,298.2429,360.84438,1.6405
