# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
0.01,-0.001,-0.114,-11.375
0.02,0.001,0.29,29.037
0.03,0.008,0.99,70.025
0.04,0.023,2.134,114.4
0.05,0.053,3.728,159.358
0.06,0.099,5.546,181.889
0.07,0.164,7.365,181.958
0.08,0.246,9.184,181.887
0.09,0.347,10.994,180.988
0.1,0.466,12.793,179.95
0.11,0.603,14.581,178.91
0.12,0.758,16.36,177.868
0.13,0.93,18.124,176.44
0.14,1.12,19.851,172.711
0.15,1.327,21.536,168.597
0.16,1.551,23.181,164.48
0.17,1.79,24.784,160.36
0.18,2.046,26.347,156.237
0.19,2.317,27.867,152.112
0.2,2.603,29.347,147.985
0.21,2.904,30.805,145.781
0.22,3.219,32.259,145.508
0.23,3.549,33.712,145.236
0.24,3.894,35.161,144.963
0.25,4.252,36.608,144.689
0.26,4.626,38.052,144.415
0.27,5.013,39.493,144.141
0.28,5.416,40.931,143.867
0.29,5.832,42.367,143.592
0.3,6.263,43.8,143.317
0.31,6.708,45.23,143.041
0.32,7.167,46.658,142.766
0.33,7.641,48.083,142.49
0.34,8.129,49.505,142.214
0.35,8.631,50.924,141.937
0.36,9.148,52.34,141.661
0.37,9.678,53.754,141.384
0.38,10.223,55.165,141.107
0.39,10.781,56.573,140.829
0.4,11.354,57.978,140.552
0.41,11.941,59.381,140.274
0.425,12.847,61.476,139.675
0.448,14.266,64.606,139.17
0.481,16.525,69.277,138.403
0.531,20.161,76.148,137.482
0.581,24.139,83.006,137.214
0.631,28.461,89.87,137.31
0.681,33.128,96.795,138.523
0.731,38.142,103.786,139.799
0.781,43.508,110.835,140.943
0.831,49.227,117.925,141.727
0.881,55.301,125.05,142.404
0.931,61.733,132.208,142.989
0.981,68.523,139.392,143.469
1.031,75.673,146.596,143.812
1.081,83.183,153.808,143.934
1.131,91.054,161.024,143.942
1.181,99.286,168.237,143.857
1.231,107.878,175.444,143.689
1.281,116.831,182.661,143.875
