# Altitude (ft),Lateral distance (ft)
4124.196,2895.965
4127.372,2905.289
4130.464,2914.604
4133.475,2923.911
4136.403,2933.208
4139.248,2942.497
4142.011,2951.778
4144.691,2961.049
4147.289,2970.312
4149.805,2979.567
4152.239,2988.813
4154.59,2998.05
4156.86,3007.279
4159.047,3016.499
4161.152,3025.711
4163.176,3034.915
4165.118,3044.11
4166.978,3053.297
4168.756,3062.476
4170.453,3071.646
4172.068,3080.808
4173.602,3089.962
4175.054,3099.107
4176.425,3108.245
4177.715,3117.374
4178.924,3126.495
4180.052,3135.608
4181.099,3144.713
4182.065,3153.809
4182.95,3162.898
4183.754,3171.978
4184.477,3181.051
4185.12,3190.115
4185.682,3199.172
4186.164,3208.22
4186.564,3217.261
4186.885,3226.294
4187.124,3235.318
4187.284,3244.335
4187.363,3253.344
4187.361,3262.345
4187.28,3271.338
4187.275,3271.671
4187.114,3280.442
4186.874,3289.124
4186.536,3298.134
4186.085,3307.476
4185.502,3317.178
4184.764,3327.267
4183.845,3337.776
4182.712,3348.742
4181.323,3360.206
4179.629,3372.215
4177.566,3384.824
4175.053,3398.095
4171.987,3412.102
4168.235,3426.928
4163.617,3442.673
4157.895,3459.452
4150.738,3477.402
4141.687,3496.675
4130.082,3517.441
4114.966,3539.866
4094.938,3564.055
4067.994,3589.914
4031.533,3616.86
3990.189,3640.001
3945.228,3659.109
3897.06,3674.6
3846.09,3686.822
3792.707,3696.087
3737.274,3702.676
3680.123,3706.85
3621.548,3708.852
3561.806,3708.905
3501.118,3707.218
3439.671,3703.98
3377.621,3699.366
3315.098,3693.532
3252.207,3686.62
3189.035,3678.757
3125.652,3670.056
3062.115,3660.617
2998.47,3650.532
2934.752,3639.877
2870.991,3628.724
2807.209,3617.134
2743.425,3605.161
2679.651,3592.853
2615.899,3580.25
2552.177,3567.391
2488.493,3554.308
2424.851,3541.027
2361.255,3527.575
2297.709,3513.973
2234.214,3500.239
2170.773,3486.391
2107.386,3472.442
2044.055,3458.406
1980.78,3444.294
1917.562,3430.115
1854.401,3415.877
1791.297,3401.589
1728.25,3387.256
1665.26,3372.884
1602.328,3358.479
1539.453,3344.044
1476.635,3329.583
1413.876,3315.099
1351.176,3300.597
1288.534,3286.077
1225.951,3271.542
1163.427,3256.994
1100.962,3242.434
1038.555,3227.865
976.206,3213.287
913.916,3198.702
851.683,3184.11
789.508,3169.512
727.391,3154.91
665.331,3140.303
603.328,3125.692
541.381,3111.078
479.492,3096.461
417.658,3081.841
417.535,3081.812
417.415,3081.783
417.297,3081.753
417.181,3081.724
417.067,3081.695
416.955,3081.666
416.845,3081.636
416.737,3081.607
416.631,3081.578
416.526,3081.549
416.423,3081.519
416.321,3081.49
416.221,3081.461
416.122,3081.432
416.025,3081.402
415.93,3081.373
415.835,3081.344
415.742,3081.315
415.651,3081.285
415.56,3081.256
415.471,3081.227
415.383,3081.197
415.296,3081.168
415.21,3081.139
415.126,3081.11
415.042,3081.08
414.959,3081.051
414.878,3081.022
414.797,3080.993
414.718,3080.963
414.639,3080.934
414.561,3080.905
414.484,3080.875
414.408,3080.846
414.333,3080.817
414.259,3080.788
414.185,3080.758
414.112,3080.729
414.04,3080.7
413.969,3080.671
413.899,3080.641
413.829,3080.612
413.76,3080.583
413.692,3080.553
413.624,3080.524
413.557,3080.495
413.491,3080.466
413.425,3080.436
413.36,3080.407
413.296,3080.378
413.232,3080.348
413.168,3080.319
413.106,3080.29
413.044,3080.261
412.982,3080.231
412.921,3080.202
412.861,3080.173
412.801,3080.143
412.741,3080.114
412.682,3080.085
412.624,3080.056
412.566,3080.026
412.509,3079.997
412.452,3079.968
412.395,3079.938
412.339,3079.909
412.283,3079.88
412.228,3079.85
412.173,3079.821
412.119,3079.792
412.065,3079.763
412.012,3079.733
411.959,3079.704
411.906,3079.675
411.854,3079.645
411.802,3079.616
411.75,3079.587
411.699,3079.558
411.648,3079.528
411.598,3079.499
411.548,3079.47
411.498,3079.44
411.449,3079.411
411.4,3079.382
411.351,3079.352
411.303,3079.323
411.255,3079.294
411.207,3079.265
411.159,3079.235
411.112,3079.206
411.066,3079.177
411.019,3079.147
410.973,3079.118
410.927,3079.089
410.881,3079.059
410.836,3079.03
410.791,3079.001
410.746,3078.972
410.702,3078.942
410.658,3078.913
410.614,3078.884
410.57,3078.854
410.526,3078.825
410.483,3078.796
410.44,3078.766
410.398,3078.737
410.355,3078.707
410.311,3078.677
410.266,3078.646
410.222,3078.614
410.176,3078.582
410.13,3078.549
410.083,3078.516
410.036,3078.482
409.988,3078.447
409.939,3078.411
409.889,3078.375
409.839,3078.337
409.788,3078.299
409.736,3078.26
409.683,3078.221
409.63,3078.18
409.575,3078.138
409.52,3078.095
409.464,3078.052
409.406,3078.007
409.348,3077.961
409.289,3077.914
409.229,3077.866
409.167,3077.816
409.105,3077.765
409.041,3077.713
408.976,3077.659
408.91,3077.604
408.842,3077.547
408.774,3077.488
408.703,3077.428
408.631,3077.366
408.558,3077.302
408.483,3077.236
408.406,3077.167
408.327,3077.097
408.247,3077.024
408.165,3076.949
408.08,3076.87
407.993,3076.789
407.904,3076.705
407.813,3076.618
407.719,3076.528
407.623,3076.433
407.524,3076.335
407.421,3076.233
407.316,3076.126
407.207,3076.014
407.094,3075.898
406.978,3075.775
406.858,3075.647
406.733,3075.512
406.604,3075.371
406.469,3075.221
406.329,3075.063
406.183,3074.896
406.031,3074.718
405.871,3074.53
405.704,3074.329
405.529,3074.114
405.344,3073.884
405.148,3073.636
404.942,3073.368
404.722,3073.078
404.487,3072.763
404.236,3072.418
403.966,3072.038
403.673,3071.618
403.355,3071.149
403.005,3070.622
402.618,3070.024
402.186,3069.337
401.696,3068.536
401.132,3067.589
400.47,3066.442
399.67,3065.015
398.668,3063.17
397.342,3060.653
395.428,3056.913
392.195,3050.442
384.944,3035.776
377.695,3021.11
370.446,3006.443
363.198,2991.777
355.951,2977.111
348.704,2962.445
341.458,2947.779
334.213,2933.112
326.969,2918.446
319.724,2903.78
312.483,2889.114
305.239,2874.447
298,2859.781
290.757,2845.115
283.52,2830.449
276.278,2815.782
269.044,2801.116
261.801,2786.45
254.572,2771.784
247.327,2757.117
240.103,2742.451
232.857,2727.785
225.64,2713.119
218.39,2698.452
211.485,2684.419
205.843,2672.921
200.744,2662.631
193.888,2648.732
186.671,2634.066
179.428,2619.4
172.22,2604.733
164.973,2590.067
158.931,2577.829
154.056,2567.86
148.27,2556.133
141.036,2541.466
133.823,2526.8
126.587,2512.134
119.383,2497.468
112.143,2482.801
105.593,2469.489
100.278,2458.628
94.977,2447.898
87.748,2433.232
80.542,2418.566
73.31,2403.9
66.114,2389.233
59.028,2374.865
53.241,2363.14
48.414,2353.259
42.158,2340.546
34.934,2325.88
27.734,2311.214
20.507,2296.548
13.316,2281.881
6.085,2267.215
0.063,2254.989
0,2254.858
