# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
1.713,414.6,331.511,-45.496
1.723,417.912,331.056,-45.403
1.733,421.221,330.603,-45.308
1.743,424.525,330.15,-45.214
1.753,427.824,329.698,-45.122
1.763,431.118,329.248,-45.034
1.773,434.409,328.798,-44.949
1.783,437.694,328.349,-44.868
1.793,440.976,327.9,-44.792
1.803,444.252,327.453,-44.72
1.813,447.525,327.006,-44.653
1.823,450.793,326.56,-44.591
1.833,454.056,326.114,-44.534
1.843,457.315,325.669,-44.481
1.853,460.569,325.224,-44.432
1.863,463.819,324.78,-44.387
1.873,467.065,324.337,-44.346
1.883,470.306,323.893,-44.309
1.893,473.543,323.45,-44.275
1.903,476.775,323.008,-44.244
1.913,480.003,322.566,-44.217
1.923,483.226,322.124,-44.193
1.933,486.445,321.682,-44.173
1.943,489.66,321.24,-44.157
1.953,492.87,320.799,-44.145
1.963,496.076,320.357,-44.136
1.973,499.277,319.916,-44.13
1.983,502.474,319.475,-44.128
1.993,505.667,319.033,-44.129
2.003,508.855,318.592,-44.132
2.013,512.039,318.151,-44.136
2.023,515.218,317.709,-44.142
2.033,518.393,317.268,-44.149
2.043,521.563,316.826,-44.154
2.053,524.729,316.385,-44.158
2.063,527.891,315.943,-44.159
2.073,531.048,315.501,-44.155
2.083,534.201,315.06,-44.147
2.093,537.349,314.619,-44.132
2.103,540.493,314.177,-44.111
2.113,543.633,313.736,-44.083
2.123,546.768,313.296,-44.048
2.133,549.899,312.855,-44.006
2.143,553.025,312.416,-43.957
2.153,556.147,311.976,-43.902
2.163,559.265,311.538,-43.841
2.173,562.378,311.1,-43.775
2.183,565.487,310.662,-43.706
2.193,568.591,310.225,-43.634
2.203,571.691,309.789,-43.561
2.213,574.787,309.354,-43.487
2.223,577.878,308.92,-43.414
2.233,580.965,308.486,-43.341
2.243,584.048,308.053,-43.271
2.253,587.126,307.62,-43.203
2.263,590.201,307.189,-43.137
2.273,593.27,306.758,-43.074
2.283,596.336,306.327,-43.014
2.293,599.397,305.897,-42.957
2.303,602.454,305.468,-42.904
2.313,605.506,305.039,-42.854
2.323,608.554,304.611,-42.806
2.333,611.598,304.183,-42.762
2.343,614.638,303.756,-42.721
2.353,617.674,303.329,-42.683
2.363,620.705,302.902,-42.648
2.373,623.732,302.476,-42.615
2.383,626.754,302.05,-42.586
2.393,629.773,301.624,-42.558
2.403,632.787,301.199,-42.534
2.413,635.797,300.773,-42.512
2.423,638.802,300.348,-42.493
2.433,641.804,299.924,-42.476
