# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
0.01,-0.001,-0.111,-11.09
0.02,0.001,0.29,29.052
0.03,0.008,0.988,69.765
0.04,0.023,2.126,113.843
0.05,0.053,3.711,158.499
0.06,0.099,5.52,180.879
0.07,0.163,7.329,180.948
0.08,0.245,9.137,180.878
0.09,0.346,10.937,179.985
0.1,0.464,12.726,178.953
0.11,0.6,14.505,177.92
0.12,0.754,16.273,176.885
0.13,0.926,18.028,175.466
0.14,1.114,19.745,171.762
0.15,1.32,21.421,167.674
0.16,1.543,23.057,163.584
0.17,1.781,24.652,159.49
0.18,2.035,26.205,155.394
0.19,2.305,27.718,151.296
0.2,2.59,29.19,147.194
0.21,2.889,30.64,145.004
0.22,3.202,32.087,144.731
0.23,3.53,33.531,144.459
0.24,3.873,34.973,144.185
0.25,4.23,36.412,143.912
0.26,4.601,37.848,143.637
0.27,4.987,39.281,143.363
0.28,5.387,40.712,143.088
0.29,5.801,42.14,142.812
0.3,6.23,43.565,142.536
0.31,6.672,44.988,142.26
0.32,7.129,46.407,141.984
0.33,7.601,47.824,141.706
0.34,8.086,49.238,141.429
0.35,8.585,50.65,141.151
0.36,9.099,52.058,140.873
0.37,9.626,53.464,140.595
0.38,10.168,54.867,140.316
0.39,10.724,56.267,140.036
0.4,11.293,57.665,139.757
0.41,11.877,59.059,139.477
0.425,12.779,61.147,139.201
0.448,14.19,64.267,138.712
0.481,16.437,68.923,137.961
0.531,20.054,75.772,137.017
0.581,24.014,82.605,136.66
0.631,28.315,89.438,136.611
0.681,32.959,96.323,137.607
0.731,37.949,103.26,138.584
0.781,43.286,110.238,139.327
0.831,48.973,117.235,139.589
0.881,55.01,124.237,139.591
0.931,61.397,131.233,139.325
0.981,68.133,138.207,138.761
1.031,75.218,145.145,137.863
1.081,82.647,152.024,136.56
1.131,90.419,158.831,134.984
1.181,98.529,165.552,133.141
1.231,106.973,172.175,131.074
1.281,115.746,178.709,129.293
1.331,124.844,185.224,128.955
1.377,133.404,191.146,129.107
1.416,140.916,196.204,129.619
1.451,147.893,200.804,130.368
1.484,154.592,205.151,131.401
1.515,161.189,209.379,132.749
1.547,167.831,213.596,134.403
1.579,174.674,217.913,136.441
1.612,181.942,222.483,138.945
1.647,189.989,227.535,142.043
1.689,199.526,233.53,146.002
1.739,211.389,241.011,151.121
1.789,223.632,248.739,156.037
1.839,236.267,256.651,159.655
1.889,249.301,264.735,162.88
1.93,260.409,271.546,165.139
1.962,269.131,276.83,166.494
1.99,276.969,281.523,167.315
2.016,284.434,285.937,167.764
2.042,291.827,290.249,167.902
2.068,299.424,294.615,167.719
2.095,307.555,299.206,167.177
2.126,316.762,304.299,166.168
2.163,328.284,310.504,164.412
2.213,344.014,318.667,161.457
2.263,360.149,326.67,158.12
2.313,376.676,334.396,152.79
2.345,387.413,339.168,148.887
2.371,396.342,343.013,146.431
2.395,404.601,346.485,144.718
2.419,412.684,349.817,143.54
2.442,420.955,353.172,142.813
2.467,429.856,356.734,142.515
2.496,440.157,360.809,142.675
2.534,453.875,366.177,143.408
2.584,472.362,373.324,144.468
2.634,491.207,380.498,144.779
2.668,504.359,385.421,143.972
2.694,514.344,389.099,142.902
2.717,523.438,392.396,141.633
2.74,532.377,395.579,140.038
2.763,541.716,398.835,138.078
2.79,552.212,402.413,135.827
2.823,565.579,406.832,132.569
2.872,585.898,413.236,127.253
2.922,606.715,419.41,121.684
2.956,620.846,423.403,118.251
2.981,631.537,426.341,116.412
3.004,641.399,429.003,115.37
3.027,651.316,431.631,114.238
3.052,662.105,434.441,113.236
3.082,675.29,437.824,112.687
3.127,695.259,442.871,112.565
3.177,717.54,448.392,111.612
3.214,733.858,452.339,109.504
3.239,745.493,455.087,107.294
3.263,756.311,457.582,105.01
3.287,767.492,460.086,102.299
3.315,780.413,462.875,98.753
3.355,798.852,466.638,93.347
3.405,822.295,471.04,86.242
3.451,844.281,474.807,80.022
3.478,856.992,476.855,76.552
3.503,868.892,478.711,74.646
3.53,881.563,480.538,69.493
3.562,897.326,482.533,61.571
3.611,921.079,485.002,51.095
3.661,945.375,486.822,37.197
3.693,960.951,487.587,24.555
3.72,974.193,487.989,14.818
3.749,987.921,488.146,5.148
3.783,1004.919,488.017,-4.573
3.833,1029.303,487.306,-15.591
3.883,1053.635,485.963,-27.544
3.919,1070.694,484.671,-36.616
3.949,1085.477,483.351,-42.863
3.983,1101.586,481.723,-48.245
4,1109.998,480.796,-52.64
4.026,1122.585,479.386,-53.216
4.066,1141.397,477.328,-51.529
4.116,1165.2,474.796,-50.057
4.153,1182.955,472.932,-49.642
4.188,1199.63,471.175,-49.936
4.232,1220.059,468.985,-50.921
4.282,1243.444,466.402,-52.318
4.332,1266.698,463.753,-53.365
4.379,1288.358,461.244,-53.501
4.419,1307.153,459.069,-52.827
4.469,1330.041,456.465,-51.306
4.519,1352.801,453.944,-49.664
4.569,1375.436,451.496,-48.44
4.619,1397.951,449.091,-48.019
4.667,1419.204,446.807,-48.39
4.717,1441.484,444.365,-49.299
4.767,1463.64,441.874,-50.265
4.817,1485.671,439.341,-50.83
4.867,1507.574,436.799,-50.669
4.917,1529.351,434.284,-49.803
4.967,1551.003,431.825,-48.57
5.017,1572.535,429.429,-47.388
5.067,1593.947,427.083,-46.608
5.117,1615.243,424.761,-46.426
5.167,1636.423,422.433,-46.797
5.217,1657.486,420.076,-47.476
5.267,1678.43,417.683,-48.136
5.317,1699.254,415.265,-48.475
5.367,1719.956,412.842,-48.299
5.417,1740.538,410.442,-47.637
5.467,1761.001,408.083,-46.706
5.517,1781.348,405.772,-45.791
5.567,1801.579,403.502,-45.13
5.617,1821.698,401.254,-44.879
5.667,1841.705,399.008,-45.038
5.717,1861.599,396.746,-45.472
5.767,1881.379,394.459,-45.964
5.817,1901.044,392.15,-46.307
5.867,1920.594,389.832,-46.33
5.917,1940.028,387.522,-45.985
5.967,1959.346,385.238,-45.361
6.017,1978.552,382.989,-44.633
6.067,1997.646,380.775,-43.979
6.117,2016.63,378.588,-43.55
6.167,2035.505,376.416,-43.418
6.217,2054.271,374.242,-43.562
6.267,2072.929,372.057,-43.875
6.317,2091.477,369.854,-44.213
6.367,2109.914,367.636,-44.435
6.417,2128.24,365.413,-44.434
6.467,2146.455,363.196,-44.179
